User ID,Subscription Type,Join Date,Last Payment Date,Country,Age,Device,NumericalDate,Label
59,Premium,03-12-22,23-06-23,Spain,27,Smart TV,174,least_interested
60,Basic,14-06-23,22-06-23,Italy,42,Tablet,173,least_interested
61,Premium,08-02-23,22-06-23,United States,28,Laptop,173,least_interested
62,Basic,03-08-22,28-06-23,Canada,37,Smartphone,179,least_interested
63,Standard,23-02-22,27-06-23,United Kingdom,41,Smart TV,178,least_interested
64,Standard,20-06-22,26-06-23,Australia,29,Tablet,177,least_interested
65,Basic,29-03-23,28-06-23,Germany,40,Laptop,179,least_interested
66,Premium,30-01-22,27-06-23,France,29,Smartphone,178,least_interested
67,Basic,18-09-22,25-06-23,Brazil,47,Smart TV,176,least_interested
68,Standard,09-11-21,24-06-23,Mexico,33,Tablet,175,least_interested
69,Premium,23-12-22,23-06-23,Spain,36,Laptop,174,least_interested
70,Basic,08-05-23,22-06-23,Italy,41,Smartphone,173,least_interested
71,Basic,26-01-22,20-06-23,United States,27,Smartphone,171,least_interested
72,Basic,11-10-22,22-06-23,Canada,31,Smartphone,173,least_interested
73,Standard,27-09-22,26-06-23,United Kingdom,28,Laptop,177,least_interested
74,Premium,14-12-22,25-06-23,Australia,41,Smartphone,176,least_interested
75,Basic,28-05-22,26-06-23,Germany,28,Laptop,177,least_interested
76,Basic,29-12-21,26-06-23,France,51,Laptop,177,least_interested
77,Premium,25-12-22,23-06-23,Brazil,45,Smartphone,174,least_interested
78,Standard,18-11-22,28-06-23,Mexico,49,Tablet,179,least_interested
79,Standard,03-12-22,25-06-23,Spain,43,Laptop,176,least_interested
80,Basic,08-11-22,22-06-23,Italy,43,Tablet,173,least_interested
81,Premium,11-01-23,24-06-23,United States,37,Tablet,175,least_interested
82,Standard,07-12-22,28-06-23,Canada,35,Laptop,179,least_interested
83,Basic,20-10-22,26-06-23,United Kingdom,46,Smartphone,177,least_interested
84,Standard,13-04-23,25-06-23,Australia,32,Smartphone,176,least_interested
85,Premium,06-04-23,27-06-23,Germany,37,Laptop,178,least_interested
86,Basic,04-03-22,25-06-23,France,29,Smartphone,176,least_interested
87,Premium,28-12-21,23-06-23,Brazil,45,Smart TV,174,least_interested
88,Standard,27-09-22,28-06-23,Mexico,47,Tablet,179,least_interested
89,Basic,20-10-22,26-06-23,Spain,39,Smartphone,177,least_interested
90,Standard,03-02-23,23-06-23,Italy,49,Smartphone,174,least_interested
91,Premium,03-10-22,23-06-23,United States,39,Tablet,174,least_interested
92,Basic,05-01-22,28-06-23,Canada,39,Smart TV,179,least_interested
93,Standard,05-02-22,26-06-23,United Kingdom,35,Smartphone,177,least_interested
94,Premium,19-03-22,25-06-23,Australia,44,Smartphone,176,least_interested
95,Basic,28-02-22,25-06-23,Germany,34,Laptop,176,least_interested
96,Premium,26-07-22,24-06-23,France,32,Laptop,175,least_interested
97,Basic,05-03-22,24-06-23,Brazil,29,Tablet,175,least_interested
98,Standard,07-03-22,28-06-23,Mexico,31,Tablet,179,least_interested
99,Standard,13-01-23,24-06-23,Spain,29,Tablet,175,least_interested
100,Basic,22-01-23,25-06-23,Italy,35,Laptop,176,least_interested
101,Premium,17-10-22,24-06-23,United States,46,Tablet,175,least_interested
102,Basic,29-03-22,28-06-23,Canada,31,Tablet,179,least_interested
103,Standard,04-04-22,26-06-23,United Kingdom,36,Laptop,177,least_interested
104,Premium,08-06-22,25-06-23,Australia,38,Laptop,176,least_interested
105,Basic,04-03-22,27-06-23,Germany,46,Laptop,178,least_interested
106,Premium,18-03-22,24-06-23,France,49,Tablet,175,least_interested
107,Basic,07-03-22,24-06-23,Brazil,29,Smart TV,175,least_interested
108,Standard,24-05-22,25-06-23,Mexico,27,Smart TV,176,least_interested
109,Standard,08-02-23,25-06-23,Spain,35,Tablet,176,least_interested
110,Basic,26-01-23,24-06-23,Italy,37,Laptop,175,least_interested
111,Premium,14-07-22,27-06-23,United States,40,Tablet,178,least_interested
112,Basic,01-06-22,28-06-23,Canada,33,Laptop,179,least_interested
113,Standard,07-05-22,26-06-23,United Kingdom,37,Tablet,177,least_interested
114,Premium,18-11-22,25-06-23,Australia,48,Smartphone,176,least_interested
115,Basic,05-04-22,25-06-23,Germany,50,Laptop,176,least_interested
116,Premium,19-05-22,23-06-23,France,45,Smart TV,174,least_interested
117,Basic,30-10-21,23-06-23,Brazil,40,Tablet,174,least_interested
118,Standard,07-08-22,27-06-23,Mexico,33,Smartphone,178,least_interested
119,Standard,20-09-22,25-06-23,Spain,44,Smartphone,176,least_interested
120,Basic,18-10-22,25-06-23,Italy,30,Smart TV,176,least_interested
121,Premium,03-10-22,24-06-23,United States,27,Smart TV,175,least_interested
122,Basic,03-05-22,28-06-23,Canada,51,Smart TV,179,least_interested
123,Standard,25-05-22,26-06-23,United Kingdom,49,Smartphone,177,least_interested
124,Premium,05-11-22,25-06-23,Australia,43,Laptop,176,least_interested
125,Basic,21-08-22,24-06-23,Germany,42,Smartphone,175,least_interested
126,Premium,21-09-22,23-06-23,France,45,Laptop,174,least_interested
127,Basic,23-11-21,23-06-23,Brazil,36,Smartphone,174,least_interested
128,Standard,06-10-22,27-06-23,Mexico,48,Smartphone,178,least_interested
129,Standard,05-11-22,23-06-23,Spain,38,Smart TV,174,least_interested
130,Basic,07-01-23,23-06-23,Italy,43,Tablet,174,least_interested
131,Premium,06-10-22,23-06-23,United States,47,Laptop,174,least_interested
132,Basic,24-06-22,28-06-23,Canada,48,Smart TV,179,least_interested
133,Standard,24-06-22,26-06-23,United Kingdom,47,Smart TV,177,least_interested
134,Premium,05-11-22,25-06-23,Australia,32,Tablet,176,least_interested
135,Basic,18-07-22,26-06-23,Germany,47,Smart TV,177,least_interested
136,Premium,13-09-22,26-06-23,France,41,Smart TV,177,least_interested
137,Basic,10-08-22,22-06-23,Brazil,49,Laptop,173,least_interested
138,Standard,21-09-22,23-06-23,Mexico,28,Laptop,174,least_interested
139,Standard,24-03-23,23-06-23,Spain,40,Smartphone,174,least_interested
140,Basic,02-05-22,23-06-23,Italy,43,Smartphone,174,least_interested
141,Premium,11-05-22,27-06-23,United States,42,Smartphone,178,least_interested
142,Basic,10-06-22,22-06-23,Canada,28,Smart TV,173,least_interested
143,Standard,31-08-22,24-06-23,United Kingdom,30,Tablet,175,least_interested
144,Premium,17-08-22,26-06-23,Australia,33,Smart TV,177,least_interested
145,Basic,05-05-22,26-06-23,Germany,35,Laptop,177,least_interested
146,Basic,06-10-22,25-06-23,France,38,Tablet,176,least_interested
147,Basic,08-11-22,24-06-23,Brazil,49,Laptop,175,least_interested
148,Standard,27-11-22,28-06-23,Mexico,39,Smartphone,179,least_interested
149,Premium,17-11-22,27-06-23,Spain,46,Smart TV,178,least_interested
150,Basic,15-12-22,23-06-23,Italy,47,Laptop,174,least_interested
151,Basic,12-12-22,25-06-23,United States,30,Laptop,176,least_interested
152,Premium,23-11-22,27-06-23,Canada,33,Tablet,178,least_interested
153,Standard,25-12-22,24-06-23,United Kingdom,47,Smartphone,175,least_interested
154,Standard,11-03-23,27-06-23,Australia,27,Laptop,178,least_interested
155,Basic,18-11-22,27-06-23,Germany,28,Tablet,178,least_interested
156,Premium,19-08-22,25-06-23,France,47,Smartphone,176,least_interested
157,Standard,27-09-22,24-06-23,Brazil,30,Laptop,175,least_interested
158,Basic,19-10-22,28-06-23,Mexico,47,Smartphone,179,least_interested
159,Standard,21-12-22,26-06-23,Spain,51,Smart TV,177,least_interested
160,Premium,27-10-22,25-06-23,Italy,39,Smartphone,176,least_interested
161,Basic,23-10-22,24-06-23,United States,45,Tablet,175,least_interested
162,Premium,19-04-22,25-06-23,Canada,31,Laptop,176,least_interested
163,Standard,05-04-22,26-06-23,United Kingdom,29,Laptop,177,least_interested
164,Basic,11-03-22,26-06-23,Australia,42,Tablet,177,least_interested
165,Standard,25-05-22,25-06-23,Germany,49,Tablet,176,least_interested
166,Premium,16-04-22,26-06-23,France,42,Laptop,177,least_interested
167,Basic,07-04-22,24-06-23,Brazil,29,Smartphone,175,least_interested
168,Standard,11-12-22,28-06-23,Mexico,29,Tablet,179,least_interested
169,Premium,20-01-23,26-06-23,Spain,49,Tablet,177,least_interested
170,Basic,12-01-23,25-06-23,Italy,32,Laptop,176,least_interested
171,Premium,29-04-22,24-06-23,United States,35,Tablet,175,least_interested
172,Basic,27-04-22,26-06-23,Canada,39,Smartphone,177,least_interested
173,Standard,03-06-22,25-06-23,United Kingdom,40,Smartphone,176,least_interested
174,Standard,23-04-22,25-06-23,Australia,39,Tablet,176,least_interested
175,Basic,22-04-22,26-06-23,Germany,47,Laptop,177,least_interested
176,Premium,12-04-22,25-06-23,France,37,Smart TV,176,least_interested
177,Basic,23-05-22,26-06-23,Brazil,27,Smartphone,177,least_interested
178,Standard,19-10-22,26-06-23,Mexico,49,Laptop,177,least_interested
179,Premium,03-12-22,26-06-23,Spain,30,Tablet,177,least_interested
180,Basic,26-09-22,25-06-23,Italy,36,Laptop,176,least_interested
181,Premium,16-06-22,27-06-23,United States,33,Smartphone,178,least_interested
182,Basic,16-05-22,25-06-23,Canada,30,Laptop,176,least_interested
183,Standard,26-05-22,26-06-23,United Kingdom,36,Tablet,177,least_interested
184,Standard,26-04-22,25-06-23,Australia,28,Laptop,176,least_interested
185,Basic,12-05-22,25-06-23,Germany,47,Tablet,176,least_interested
186,Premium,01-03-22,25-06-23,France,33,Smart TV,176,least_interested
187,Basic,10-07-22,24-06-23,Brazil,49,Laptop,175,least_interested
188,Standard,16-07-22,27-06-23,Mexico,44,Smart TV,178,least_interested
189,Premium,02-09-22,26-06-23,Spain,47,Smart TV,177,least_interested
190,Basic,18-09-22,26-06-23,Italy,37,Tablet,177,least_interested
191,Premium,08-07-22,25-06-23,United States,46,Laptop,176,least_interested
192,Basic,26-06-22,27-06-23,Canada,50,Smartphone,178,least_interested
193,Standard,05-08-22,25-06-23,United Kingdom,50,Laptop,176,least_interested
194,Standard,19-08-22,27-06-23,Australia,37,Laptop,178,least_interested
195,Basic,26-08-22,24-06-23,Germany,50,Smartphone,175,least_interested
196,Premium,09-06-22,24-06-23,France,45,Smart TV,175,least_interested
197,Basic,27-09-22,23-06-23,Brazil,45,Tablet,174,least_interested
198,Standard,18-10-22,27-06-23,Mexico,49,Laptop,178,least_interested
199,Premium,31-10-22,25-06-23,Spain,39,Tablet,176,least_interested
200,Basic,13-10-22,25-06-23,Italy,45,Tablet,176,least_interested
201,Premium,04-07-22,27-06-23,United States,49,Smart TV,178,least_interested
202,Basic,26-06-22,27-06-23,Canada,31,Tablet,178,least_interested
203,Standard,31-07-22,24-06-23,United Kingdom,42,Smart TV,175,least_interested
204,Standard,27-07-22,24-06-23,Australia,37,Smartphone,175,least_interested
205,Basic,30-07-22,25-06-23,Germany,30,Smart TV,176,least_interested
206,Premium,06-08-22,25-06-23,France,40,Smartphone,176,least_interested
207,Basic,16-09-22,24-06-23,Brazil,45,Smartphone,175,least_interested
208,Standard,05-01-23,23-06-23,Mexico,36,Tablet,174,least_interested
209,Premium,10-12-22,24-06-23,Spain,41,Laptop,175,least_interested
210,Basic,22-11-22,26-06-23,Italy,49,Laptop,177,least_interested
211,Premium,15-11-22,27-06-23,United States,40,Tablet,178,least_interested
212,Basic,28-10-22,26-06-23,Canada,36,Smart TV,177,least_interested
213,Standard,08-09-22,24-06-23,United Kingdom,49,Smart TV,175,least_interested
214,Standard,30-06-22,28-06-23,Australia,43,Laptop,179,least_interested
215,Basic,02-09-22,27-06-23,Germany,50,Smartphone,178,least_interested
216,Premium,08-10-22,24-06-23,France,51,Smart TV,175,least_interested
217,Basic,13-11-22,25-06-23,Brazil,44,Smart TV,176,least_interested
218,Standard,15-11-22,28-06-23,Mexico,27,Tablet,179,least_interested
219,Premium,16-11-22,25-06-23,Spain,46,Smartphone,176,least_interested
220,Basic,26-11-22,27-06-23,Italy,29,Tablet,178,least_interested
221,Basic,26-11-22,25-06-23,United States,47,Smartphone,176,least_interested
222,Basic,12-12-22,26-06-23,Canada,48,Smartphone,177,least_interested
223,Standard,08-01-23,25-06-23,United Kingdom,34,Smartphone,176,least_interested
224,Premium,27-11-22,29-06-23,Australia,40,Smartphone,180,least_interested
225,Basic,11-10-22,27-06-23,Germany,48,Smartphone,178,least_interested
226,Basic,27-09-22,26-06-23,France,35,Smartphone,177,least_interested
227,Premium,30-09-22,24-06-23,Brazil,51,Smartphone,175,least_interested
228,Standard,04-11-22,27-06-23,Mexico,39,Smart TV,178,least_interested
229,Standard,04-11-22,27-06-23,Spain,29,Smartphone,178,least_interested
230,Basic,30-10-22,26-06-23,Italy,51,Laptop,177,least_interested
231,Premium,29-10-22,24-06-23,United States,43,Smartphone,175,least_interested
232,Standard,30-08-22,27-06-23,Canada,28,Smartphone,178,least_interested
233,Basic,07-07-22,26-06-23,United Kingdom,50,Smart TV,177,least_interested
234,Standard,26-05-22,27-06-23,Australia,44,Laptop,178,least_interested
235,Premium,17-05-22,25-06-23,Germany,50,Laptop,176,least_interested
236,Basic,08-05-22,26-06-23,France,39,Smartphone,177,least_interested
237,Premium,07-07-22,25-06-23,Brazil,46,Tablet,176,least_interested
238,Standard,17-07-22,28-06-23,Mexico,48,Smartphone,179,least_interested
239,Basic,23-12-22,26-06-23,Spain,38,Smart TV,177,least_interested
240,Standard,27-06-22,26-06-23,Italy,38,Smartphone,177,least_interested
241,Premium,31-05-22,27-06-23,United States,47,Laptop,178,least_interested
242,Basic,02-06-22,26-06-23,Canada,37,Laptop,177,least_interested
243,Standard,25-05-22,27-06-23,United Kingdom,33,Laptop,178,least_interested
244,Premium,26-04-22,26-06-23,Australia,28,Smartphone,177,least_interested
245,Basic,20-04-22,26-06-23,Germany,47,Smart TV,177,least_interested
246,Premium,03-05-22,25-06-23,France,38,Smartphone,176,least_interested
247,Basic,07-07-22,27-06-23,Brazil,27,Smart TV,178,least_interested
248,Standard,15-09-22,26-06-23,Mexico,34,Smartphone,177,least_interested
249,Standard,16-09-22,27-06-23,Spain,42,Smartphone,178,least_interested
250,Basic,09-08-22,26-06-23,Italy,28,Laptop,177,least_interested
251,Premium,25-06-22,27-06-23,United States,30,Laptop,178,least_interested
252,Basic,30-05-22,26-06-23,Canada,38,Smartphone,177,least_interested
253,Standard,21-05-22,25-06-23,United Kingdom,45,Tablet,176,least_interested
254,Premium,20-05-22,27-06-23,Australia,48,Smart TV,178,least_interested
255,Basic,20-05-22,26-06-23,Germany,46,Smart TV,177,least_interested
256,Premium,30-05-22,26-06-23,France,34,Tablet,177,least_interested
257,Basic,17-06-22,25-06-23,Brazil,46,Laptop,176,least_interested
258,Standard,16-07-22,28-06-23,Mexico,41,Smartphone,179,least_interested
259,Standard,05-08-22,26-06-23,Spain,28,Smartphone,177,least_interested
260,Basic,17-07-22,26-06-23,Italy,27,Smartphone,177,least_interested
261,Premium,04-07-22,25-06-23,United States,27,Smart TV,176,least_interested
262,Basic,13-07-22,26-06-23,Canada,28,Tablet,177,least_interested
263,Standard,25-07-22,24-06-23,United Kingdom,46,Smartphone,175,least_interested
264,Premium,09-08-22,27-06-23,Australia,51,Smartphone,178,least_interested
265,Basic,05-08-22,25-06-23,Germany,32,Smart TV,176,least_interested
266,Premium,17-08-22,26-06-23,France,44,Tablet,177,least_interested
267,Basic,08-09-22,27-06-23,Brazil,44,Laptop,178,least_interested
268,Standard,16-10-22,28-06-23,Mexico,34,Smart TV,179,least_interested
269,Standard,15-10-22,25-06-23,Spain,29,Laptop,176,least_interested
270,Basic,04-09-22,25-06-23,Italy,47,Smart TV,176,least_interested
271,Premium,20-08-22,26-06-23,United States,41,Laptop,177,least_interested
272,Basic,10-08-22,26-06-23,Canada,36,Smartphone,177,least_interested
273,Standard,02-08-22,25-06-23,United Kingdom,28,Laptop,176,least_interested
274,Premium,01-08-22,24-06-23,Australia,27,Tablet,175,least_interested
275,Basic,06-08-22,25-06-23,Germany,34,Laptop,176,least_interested
276,Premium,09-08-22,25-06-23,France,34,Smart TV,176,least_interested
277,Basic,12-09-22,26-06-23,Brazil,37,Tablet,177,least_interested
278,Standard,27-09-22,26-06-23,Mexico,34,Laptop,177,least_interested
279,Standard,12-11-22,24-06-23,Spain,50,Laptop,175,least_interested
280,Basic,13-11-22,27-06-23,Italy,34,Laptop,178,least_interested
281,Premium,02-11-22,28-06-23,United States,33,Smart TV,179,least_interested
282,Basic,30-10-22,25-06-23,Canada,33,Smart TV,176,least_interested
283,Standard,30-06-22,26-06-23,United Kingdom,46,Smartphone,177,least_interested
284,Premium,04-08-22,28-06-23,Australia,39,Smartphone,179,least_interested
285,Basic,01-09-22,27-06-23,Germany,42,Laptop,178,least_interested
286,Premium,14-10-22,27-06-23,France,50,Laptop,178,least_interested
287,Basic,16-10-22,26-06-23,Brazil,43,Smartphone,177,least_interested
288,Standard,20-10-22,28-06-23,Mexico,51,Smart TV,179,least_interested
289,Standard,20-11-22,25-06-23,Spain,34,Smart TV,176,least_interested
290,Basic,25-11-22,30-06-23,Italy,48,Smartphone,181,moderate_interested
291,Premium,04-12-22,27-06-23,United States,29,Tablet,178,least_interested
292,Basic,12-12-22,27-06-23,Canada,43,Laptop,178,least_interested
293,Standard,09-12-22,25-06-23,United Kingdom,39,Laptop,176,least_interested
294,Premium,15-10-22,29-06-23,Australia,50,Laptop,180,least_interested
295,Basic,03-10-22,27-06-23,Germany,45,Laptop,178,least_interested
296,Basic,01-10-22,27-06-23,France,48,Tablet,178,least_interested
297,Basic,02-11-22,24-06-23,Brazil,40,Smartphone,175,least_interested
298,Standard,03-11-22,27-06-23,Mexico,41,Tablet,178,least_interested
299,Premium,30-10-22,27-06-23,Spain,27,Smartphone,178,least_interested
300,Basic,30-10-22,28-06-23,Italy,36,Laptop,179,least_interested
301,Basic,27-09-22,24-06-23,United States,36,Laptop,175,least_interested
302,Premium,14-09-22,27-06-23,Canada,44,Tablet,178,least_interested
303,Standard,11-06-22,26-06-23,United Kingdom,45,Tablet,177,least_interested
304,Standard,11-06-22,29-06-23,Australia,33,Smartphone,180,least_interested
305,Basic,24-05-22,26-06-23,Germany,47,Smart TV,177,least_interested
306,Premium,06-07-22,27-06-23,France,45,Tablet,178,least_interested
307,Standard,08-07-22,28-06-23,Brazil,29,Smart TV,179,least_interested
308,Basic,27-10-22,27-06-23,Mexico,31,Smart TV,178,least_interested
309,Standard,09-08-22,28-06-23,Spain,31,Smartphone,179,least_interested
310,Premium,14-06-22,26-06-23,Italy,49,Smartphone,177,least_interested
311,Basic,07-06-22,27-06-23,United States,29,Smartphone,178,least_interested
312,Premium,27-05-22,26-06-23,Canada,50,Laptop,177,least_interested
313,Standard,27-05-22,27-06-23,United Kingdom,36,Laptop,178,least_interested
314,Basic,21-04-22,26-06-23,Australia,28,Laptop,177,least_interested
315,Standard,28-04-22,27-06-23,Germany,47,Smart TV,178,least_interested
316,Premium,27-05-22,25-06-23,France,50,Laptop,176,least_interested
317,Basic,25-08-22,28-06-23,Brazil,44,Tablet,179,least_interested
318,Standard,02-09-22,27-06-23,Mexico,39,Laptop,178,least_interested
319,Premium,22-08-22,26-06-23,Spain,32,Smartphone,177,least_interested
320,Basic,02-08-22,27-06-23,Italy,30,Laptop,178,least_interested
321,Premium,22-06-22,27-06-23,United States,33,Smartphone,178,least_interested
322,Basic,04-06-22,27-06-23,Canada,44,Smartphone,178,least_interested
323,Standard,31-05-22,26-06-23,United Kingdom,40,Smartphone,177,least_interested
324,Standard,22-05-22,27-06-23,Australia,32,Tablet,178,least_interested
325,Basic,29-05-22,27-06-23,Germany,32,Tablet,178,least_interested
326,Premium,11-06-22,27-06-23,France,30,Smartphone,178,least_interested
327,Basic,06-07-22,26-06-23,Brazil,32,Smartphone,177,least_interested
328,Standard,26-07-22,27-06-23,Mexico,45,Tablet,178,least_interested
329,Premium,22-07-22,25-06-23,Spain,35,Smart TV,176,least_interested
330,Basic,06-07-22,26-06-23,Italy,40,Smart TV,177,least_interested
331,Premium,08-07-22,26-06-23,United States,29,Tablet,177,least_interested
332,Basic,22-07-22,26-06-23,Canada,31,Tablet,177,least_interested
333,Standard,24-07-22,27-06-23,United Kingdom,43,Smart TV,178,least_interested
334,Standard,28-07-22,28-06-23,Australia,34,Smart TV,179,least_interested
335,Basic,11-08-22,25-06-23,Germany,47,Tablet,176,least_interested
336,Premium,02-09-22,26-06-23,France,35,Laptop,177,least_interested
337,Basic,11-10-22,27-06-23,Brazil,36,Laptop,178,least_interested
338,Standard,15-10-22,27-06-23,Mexico,33,Tablet,178,least_interested
339,Premium,05-10-22,25-06-23,Spain,30,Laptop,176,least_interested
340,Basic,13-09-22,25-06-23,Italy,44,Smartphone,176,least_interested
341,Premium,24-08-22,26-06-23,United States,44,Laptop,177,least_interested
342,Basic,09-08-22,26-06-23,Canada,41,Laptop,177,least_interested
343,Standard,06-08-22,25-06-23,United Kingdom,46,Smart TV,176,least_interested
344,Standard,07-08-22,26-06-23,Australia,42,Smartphone,177,least_interested
345,Basic,08-08-22,25-06-23,Germany,48,Smart TV,176,least_interested
346,Premium,31-08-22,26-06-23,France,37,Tablet,177,least_interested
347,Basic,21-09-22,28-06-23,Brazil,29,Smartphone,179,least_interested
348,Standard,05-10-22,26-06-23,Mexico,30,Smart TV,177,least_interested
349,Premium,02-11-22,26-06-23,Spain,28,Smartphone,177,least_interested
350,Basic,02-11-22,28-06-23,Italy,44,Smartphone,179,least_interested
351,Premium,02-11-22,28-06-23,United States,34,Smart TV,179,least_interested
352,Basic,20-09-22,26-06-23,Canada,38,Laptop,177,least_interested
353,Standard,10-08-22,26-06-23,United Kingdom,34,Smartphone,177,least_interested
354,Standard,16-08-22,28-06-23,Australia,40,Laptop,179,least_interested
355,Basic,12-10-22,27-06-23,Germany,32,Tablet,178,least_interested
356,Premium,14-10-22,30-06-23,France,38,Smart TV,181,moderate_interested
357,Basic,18-10-22,26-06-23,Brazil,39,Smartphone,177,least_interested
358,Standard,11-11-22,28-06-23,Mexico,34,Smart TV,179,least_interested
359,Premium,20-11-22,26-06-23,Spain,41,Smartphone,177,least_interested
360,Basic,21-11-22,30-06-23,Italy,43,Tablet,181,moderate_interested
361,Premium,25-11-22,28-06-23,United States,36,Laptop,179,least_interested
362,Basic,08-12-22,27-06-23,Canada,31,Laptop,178,least_interested
363,Standard,01-11-22,25-06-23,United Kingdom,47,Smart TV,176,least_interested
364,Standard,12-10-22,29-06-23,Australia,48,Smart TV,180,least_interested
365,Basic,13-10-22,27-06-23,Germany,36,Laptop,178,least_interested
366,Premium,17-10-22,29-06-23,France,41,Smart TV,180,least_interested
367,Basic,23-10-22,25-06-23,Brazil,32,Laptop,176,least_interested
368,Standard,24-10-22,28-06-23,Mexico,28,Smartphone,179,least_interested
369,Premium,25-10-22,27-06-23,Spain,46,Smartphone,178,least_interested
370,Basic,22-10-22,29-06-23,Italy,46,Smartphone,180,least_interested
371,Basic,30-09-22,25-06-23,United States,47,Tablet,176,least_interested
372,Basic,06-09-22,27-06-23,Canada,31,Tablet,178,least_interested
373,Standard,18-06-22,26-06-23,United Kingdom,44,Tablet,177,least_interested
374,Premium,12-06-22,28-06-23,Australia,39,Laptop,179,least_interested
375,Basic,17-06-22,28-06-23,Germany,44,Laptop,179,least_interested
376,Basic,20-06-22,27-06-23,France,39,Smartphone,178,least_interested
377,Premium,27-08-22,28-06-23,Brazil,37,Laptop,179,least_interested
378,Standard,13-08-22,27-06-23,Mexico,47,Laptop,178,least_interested
